Student_ID,School_ID,Grade,Gender,Socioeconomic_Status,Attendance_Rate,Previous_Year_GPA,Dropout_Status
STU00001,SCH443,6,M,Low,82.40942038025312,3.84,N
STU00002,SCH018,3,F,High,68.81145940944687,2.89,Y
STU00003,SCH193,2,F,High,74.79485944702539,2.16,N
STU00004,SCH315,11,M,Medium,80.26084860608904,1.9,N
STU00005,SCH223,2,F,Low,75.38817302355862,1.92,N
STU00006,SCH370,12,M,Medium,87.16365460623871,2.46,N
STU00007,SCH202,6,M,Low,73.08841562506872,1.86,N
STU00008,SCH151,10,M,Low,60.38582935545334,3.03,Y
STU00009,SCH327,3,F,High,94.00733750099505,1.82,N
STU00010,SCH251,11,F,Medium,75.7946584434338,3.03,N
STU00011,SCH196,4,F,Low,61.644757751029026,2.88,Y
STU00012,SCH138,6,F,Medium,69.69900992843323,2.9,N
STU00013,SCH414,6,M,Medium,78.89392674765986,1.24,N
STU00014,SCH420,6,M,Medium,61.9796604969347,2.53,N
STU00015,SCH121,5,F,High,82.07778001377186,1.87,N
STU00016,SCH462,6,M,High,85.108739670219,1.34,N
STU00017,SCH230,2,Other,High,89.47136161082146,1.65,N
STU00018,SCH217,1,M,Low,59.785311137582724,2.53,Y
STU00019,SCH305,3,M,High,73.11669307772839,2.23,N
STU00020,SCH204,6,M,Medium,93.05034247371552,2.1,Y
STU00021,SCH359,7,M,Medium,91.68553689652113,1.71,N
STU00022,SCH302,7,M,Low,79.23843342332226,3.51,N
STU00023,SCH403,3,M,Medium,65.22684399898168,1.94,N
STU00024,SCH249,6,F,Low,79.61657701744431,2.36,N
STU00025,SCH349,8,F,Medium,77.96916698697046,2.08,N
STU00026,SCH382,5,F,Medium,85.6927182997832,2.39,N
STU00027,SCH160,3,F,Medium,84.34225649327846,2.68,N
STU00028,SCH069,3,M,Medium,87.70082129660162,2.21,N
STU00029,SCH310,7,F,Low,61.09915020742005,2.2,N
STU00030,SCH389,6,F,Low,68.15561713902638,2.21,Y
STU00031,SCH364,6,F,Medium,77.3181988551713,3.95,Y
STU00032,SCH099,11,F,Low,,2.27,Y
STU00033,SCH185,8,F,Medium,84.60971137731156,2.21,N
STU00034,SCH064,8,F,Low,50,1.79,N
STU00035,SCH243,7,F,Low,50.03366463179316,2.25,N
STU00036,SCH353,1,F,Low,75.14734703351641,3.67,N
STU00037,SCH110,11,M,Medium,77.6154189901133,2.35,N
STU00038,SCH011,11,M,Medium,81.63524464946791,0.95,N
STU00039,SCH089,7,F,Low,76.88491646486852,3.04,N
STU00040,SCH496,8,F,High,78.17131003376127,3.3,N
STU00041,SCH112,5,M,Medium,77.70797125995531,2.21,N
STU00042,SCH262,12,M,Medium,80.06225492885028,4.0,N
STU00043,SCH145,3,F,Low,76.45493004046796,2.67,N
STU00044,SCH442,3,M,High,76.32511280367805,1.91,N
STU00045,SCH265,9,M,High,96.64268653235396,1.9,N
STU00046,SCH339,3,F,Low,75.57252989775515,2.17,N
STU00047,SCH465,4,F,Low,68.83183860597113,2.73,N
STU00048,SCH098,4,M,Medium,93.3003195540632,2.14,N
