Teacher_ID,School_ID,Subject,Training_Level,Years_of_Experience,Student_Teacher_Ratio
TCH0001,SCH386,Social Studies,Basic,1,27
TCH0002,SCH161,Science,Advanced,7,20
TCH0003,SCH038,Social Studies,Basic,4,30
TCH0004,SCH259,Math,Basic,12,27
TCH0005,SCH252,English,Advanced,24,13
TCH0006,SCH500,Math,Basic,8,22
TCH0007,SCH244,Social Studies,Advanced,27,12
TCH0008,SCH316,Nepali,Advanced,8,8
TCH0009,SCH250,English,Basic,1,19
TCH0010,SCH007,Math,Advanced,5,30
TCH0011,SCH209,English,Basic,12,26
TCH0012,SCH467,Nepali,Advanced,15,8
TCH0013,SCH010,Social Studies,Basic,1,24
TCH0014,SCH003,English,Advanced,17,10
TCH0015,SCH011,Science,Basic,11,25
TCH0016,SCH127,Science,Basic,4,10
TCH0017,SCH029,Science,Advanced,9,12
TCH0018,SCH102,Science,Basic,1,31
TCH0019,SCH304,Nepali,Advanced,4,9
TCH0020,SCH471,Science,Advanced,1,29
TCH0021,SCH276,Science,Basic,5,8
TCH0022,SCH454,Nepali,Basic,13,22
TCH0023,SCH307,Science,Advanced,11,11
TCH0024,SCH268,Nepali,Basic,9,25
TCH0025,SCH143,Nepali,Advanced,8,9
TCH0026,SCH381,Nepali,Advanced,14,9
TCH0027,SCH383,Math,Basic,9,17
TCH0028,SCH026,Math,Basic,7,27
TCH0029,SCH012,Math,Advanced,15,9
TCH0030,SCH474,Math,Basic,9,22
TCH0031,SCH161,Science,Advanced,15,23
TCH0032,SCH214,Math,Basic,14,24
TCH0033,SCH028,Nepali,Basic,2,24
TCH0034,SCH360,Nepali,Advanced,6,9
TCH0035,SCH239,Social Studies,Basic,5,9
TCH0036,SCH200,Science,Basic,12,30
TCH0037,SCH191,Science,Basic,4,27
TCH0038,SCH281,Nepali,Basic,15,20
TCH0039,SCH359,Social Studies,Basic,1,8
TCH0040,SCH406,Science,Advanced,11,8
TCH0041,SCH398,Math,Basic,13,16
TCH0042,SCH273,Math,Advanced,7,26
TCH0043,SCH422,Science,Advanced,16,12
TCH0044,SCH413,Science,Basic,16,26
TCH0045,SCH438,Social Studies,Basic,8,10
TCH0046,SCH371,Nepali,Advanced,14,10
TCH0047,SCH463,Nepali,Advanced,9,12
TCH0048,SCH146,English,Basic,6,24
TCH0049,SCH381,English,Advanced,6,11
TCH0050,SCH074,Nepali,Basic,18,29
TCH0051,SCH226,Science,Basic,5,8
TCH0052,SCH073,Social Studies,Basic,1,26
TCH0053,SCH016,Math,Advanced,14,8
TCH0054,SCH229,Math,Basic,5,17
TCH0055,SCH470,Nepali,Basic,7,22
TCH0056,SCH182,Nepali,Advanced,7,14
TCH0057,SCH022,Math,Basic,11,24
TCH0058,SCH464,Nepali,Basic,13,8
TCH0059,SCH443,Social Studies,Basic,17,9
TCH0060,SCH457,Math,Advanced,5,13
TCH0061,SCH225,Science,Basic,4,33
TCH0062,SCH313,English,Advanced,17,11
TCH0063,SCH380,Nepali,Basic,3,30
TCH0064,SCH373,Science,Advanced,26,8
TCH0065,SCH488,Social Studies,Advanced,11,8
TCH0066,SCH246,Nepali,Basic,6,24
TCH0067,SCH366,Math,Advanced,14,19
TCH0068,SCH051,Nepali,Advanced,11,28
TCH0069,SCH115,Science,Advanced,6,10
TCH0070,SCH023,English,Basic,5,25
TCH0071,SCH472,Social Studies,Basic,17,21
TCH0072,SCH171,Nepali,Advanced,13,8
TCH0073,SCH356,Science,Basic,11,26
TCH0074,SCH247,Social Studies,Advanced,15,8
TCH0075,SCH448,Social Studies,Advanced,5,8
TCH0076,SCH403,Math,Advanced,12,11
TCH0077,SCH192,Social Studies,Advanced,9,27
TCH0078,SCH306,English,Advanced,8,9
TCH0079,SCH412,Nepali,Basic,1,24
TCH0080,SCH338,Social Studies,Basic,22,10
TCH0081,SCH230,Nepali,Basic,24,10
TCH0082,SCH404,Nepali,Advanced,12,27
TCH0083,SCH219,Science,Basic,17,10
TCH0084,SCH058,Science,Advanced,17,8
TCH0085,SCH274,Math,Advanced,20,13
TCH0086,SCH084,Nepali,Basic,14,9
TCH0087,SCH339,Math,Advanced,4,10
TCH0088,SCH205,Social Studies,Basic,7,22
TCH0089,SCH120,Social Studies,Advanced,6,8
TCH0090,SCH223,Nepali,Advanced,12,10
TCH0091,SCH287,Social Studies,Basic,10,35
TCH0092,SCH093,Social Studies,Advanced,16,12
TCH0093,SCH418,Science,Advanced,12,8
TCH0094,SCH351,Math,Advanced,9,13
TCH0095,SCH116,Social Studies,Basic,3,25
TCH0096,SCH150,English,Basic,12,13
TCH0097,SCH362,Math,Basic,15,11
TCH0098,SCH293,Social Studies,Basic,11,8
TCH0099,SCH205,Social Studies,Advanced,6,24
TCH0100,SCH392,Math,Basic,8,22
TCH0101,SCH010,Social Studies,Basic,1,28
TCH0102,SCH237,Social Studies,Basic,10,9
TCH0103,SCH140,Social Studies,Basic,1,24
TCH0104,SCH098,Nepali,Basic,16,10
TCH0105,SCH395,Science,Basic,9,8
TCH0106,SCH103,Social Studies,Advanced,10,10
TCH0107,SCH381,Science,Basic,14,11
TCH0108,SCH060,Nepali,Basic,16,10
TCH0109,SCH001,Math,Advanced,22,11
TCH0110,SCH445,Nepali,Advanced,7,10
TCH0111,SCH493,Math,Basic,10,28
TCH0112,SCH128,English,Basic,5,17
TCH0113,SCH489,Math,Basic,15,24
TCH0114,SCH133,Social Studies,Basic,1,23
TCH0115,SCH053,English,Basic,16,8
TCH0116,SCH489,Math,Basic,2,24
TCH0117,SCH430,Science,Advanced,12,8
TCH0118,SCH374,Nepali,Basic,6,28
TCH0119,SCH138,Math,Basic,8,19
TCH0120,SCH197,Science,Advanced,19,9
TCH0121,SCH026,Nepali,Basic,3,24
TCH0122,SCH336,Nepali,Basic,1,25
TCH0123,SCH312,Math,Advanced,15,8
TCH0124,SCH191,Nepali,Basic,6,22
TCH0125,SCH045,Social Studies,Basic,11,24
TCH0126,SCH015,Science,Advanced,8,10
TCH0127,SCH356,Social Studies,Basic,6,24
TCH0128,SCH317,Social Studies,Advanced,7,11
TCH0129,SCH383,Nepali,Basic,5,23
TCH0130,SCH344,Nepali,Basic,8,32
TCH0131,SCH328,Science,Advanced,17,8
TCH0132,SCH430,Social Studies,Advanced,4,10
TCH0133,SCH459,Social Studies,Basic,8,9
TCH0134,SCH366,Social Studies,Advanced,7,24
TCH0135,SCH309,Social Studies,Basic,10,9
TCH0136,SCH212,Math,Basic,1,10
TCH0137,SCH370,English,Advanced,15,8
TCH0138,SCH434,Science,Basic,11,26
TCH0139,SCH335,Math,Basic,8,25
TCH0140,SCH196,English,Basic,16,11
TCH0141,SCH432,Nepali,Advanced,2,12
TCH0142,SCH062,Math,Advanced,15,8
TCH0143,SCH394,English,Basic,1,8
TCH0144,SCH249,English,Basic,19,9
TCH0145,SCH178,Nepali,Basic,16,14
TCH0146,SCH365,Math,Basic,2,20
TCH0147,SCH224,English,Basic,7,26
TCH0148,SCH144,Nepali,Basic,16,8
TCH0149,SCH117,Math,Basic,4,30
TCH0150,SCH014,Math,Basic,14,10
TCH0151,SCH128,Math,Basic,5,30
TCH0152,SCH384,Science,Advanced,18,9
TCH0153,SCH093,Social Studies,Advanced,2,11
TCH0154,SCH433,English,Basic,15,10
TCH0155,SCH054,English,Advanced,13,26
TCH0156,SCH375,Science,Basic,10,12
TCH0157,SCH025,Nepali,Advanced,13,11
TCH0158,SCH309,English,Advanced,12,11
TCH0159,SCH002,English,Basic,20,12
TCH0160,SCH042,English,Basic,8,11
TCH0161,SCH391,Social Studies,Advanced,8,11
TCH0162,SCH438,Science,Advanced,11,8
TCH0163,SCH275,English,Basic,13,12
TCH0164,SCH157,Math,Basic,11,21
TCH0165,SCH029,Social Studies,Basic,13,9
TCH0166,SCH359,Nepali,Advanced,16,12
TCH0167,SCH484,Nepali,Advanced,1,25
TCH0168,SCH429,Nepali,Basic,6,10
TCH0169,SCH326,Social Studies,Advanced,3,9
TCH0170,SCH407,English,Basic,13,8
TCH0171,SCH101,Social Studies,Advanced,10,8
TCH0172,SCH395,English,Basic,16,8
TCH0173,SCH139,Social Studies,Basic,6,30
TCH0174,SCH159,Math,Basic,2,22
TCH0175,SCH409,English,Basic,11,10
TCH0176,SCH346,Math,Basic,1,23
TCH0177,SCH184,Math,Basic,16,14
TCH0178,SCH054,Math,Basic,4,23
TCH0179,SCH332,Science,Advanced,14,8
TCH0180,SCH137,Math,Advanced,20,9
TCH0181,SCH422,English,Basic,13,11
TCH0182,SCH002,Math,Advanced,1,10
TCH0183,SCH360,Math,Basic,8,8
TCH0184,SCH482,Nepali,Basic,10,29
TCH0185,SCH072,Math,Advanced,11,13
TCH0186,SCH406,Math,Advanced,10,8
TCH0187,SCH119,Science,Advanced,5,13
TCH0188,SCH331,Nepali,Advanced,22,10
TCH0189,SCH375,Social Studies,Advanced,8,9
TCH0190,SCH293,English,Basic,11,10
TCH0191,SCH224,Science,Advanced,10,26
TCH0192,SCH160,Nepali,Basic,2,20
TCH0193,SCH280,Nepali,Advanced,15,9
TCH0194,SCH134,Science,Basic,7,25
TCH0195,SCH465,Social Studies,Advanced,5,25
TCH0196,SCH032,English,Basic,11,24
TCH0197,SCH087,Social Studies,Advanced,20,13
TCH0198,SCH288,English,Basic,3,26
TCH0199,SCH109,Science,Basic,10,8
TCH0200,SCH145,Science,Advanced,11,8
TCH0201,SCH028,English,Advanced,11,28
TCH0202,SCH279,Math,Basic,9,28
TCH0203,SCH430,Math,Advanced,7,8
TCH0204,SCH374,Science,Advanced,5,20
TCH0205,SCH068,Math,Basic,8,30
TCH0206,SCH381,Math,Advanced,13,9
TCH0207,SCH138,English,Basic,13,31
TCH0208,SCH140,Math,Advanced,10,22
TCH0209,SCH035,Science,Basic,12,10
TCH0210,SCH162,Science,Basic,7,30
TCH0211,SCH456,Science,Basic,17,8
TCH0212,SCH261,English,Basic,1,22
TCH0213,SCH081,Social Studies,Advanced,6,9
TCH0214,SCH343,Nepali,Basic,11,9
TCH0215,SCH007,English,Basic,8,23
TCH0216,SCH032,Science,Basic,1,21
TCH0217,SCH371,Science,Advanced,5,8
